,month,year,gdv
0,8,2023,13313.45
1,7,2023,12670.27
2,6,2023,12353.15
3,5,2023,12475.59
4,4,2023,11906.06
5,3,2023,11106.4
6,2,2023,10807.6
7,1,2023,10434.58
8,12,2022,11389.51
9,11,2022,11374.08
10,10,2022,10792.19
11,9,2022,11869.9
12,8,2022,12155.89
13,7,2022,10774.98
14,6,2022,12475.93
15,5,2022,11005.37
16,4,2022,13052.3
17,3,2022,12935.11
18,2,2022,13610.27
19,1,2022,13565.35
20,12,2021,13886.33
21,11,2021,13945.07
22,10,2021,13898.52
23,9,2021,14016.99
24,8,2021,13757.05
25,7,2021,13574.58
26,6,2021,13938.08
27,5,2021,13825.43
28,4,2021,13802.12
29,3,2021,13552.05
30,2,2021,13649.3
31,1,2021,13545.66
32,12,2020,13457.02
33,11,2020,13298.63
34,10,2020,13733.05
35,9,2020,13256.66
36,8,2020,12958.68
37,7,2020,12139.6
38,6,2020,12161.48
39,5,2020,12405.77
40,4,2020,12855.75
41,3,2020,8249.59
42,2,2020,7840.55
43,1,2020,7773.06
44,12,2019,7946.22
45,11,2019,7949.61
46,10,2019,7927.69
47,9,2019,8170.49
48,8,2019,7867.7
49,7,2019,3762.96
50,6,2019,3821.72
51,5,2019,3814.44
52,4,2019,3828.25
53,3,2019,3887.88
54,2,2019,3903.5
55,1,2019,4036.05
56,12,2018,4567.75
57,11,2018,4972.45
58,10,2018,5004.49
59,9,2018,5160.28
60,8,2018,4844.38
61,7,2018,4839.26
62,6,2018,3927.58
63,5,2018,3962.67
64,4,2018,3772.83
65,3,2018,3698.96
66,2,2018,3729.71
67,1,2018,3752.94
68,12,2017,3904.76
69,11,2017,4013.81
70,10,2017,4210.36
71,9,2017,4425.68
72,8,2017,4449.35
73,7,2017,4385.49
74,6,2017,4192.3
75,5,2017,4192.5
76,4,2017,4134.27
77,3,2017,4206.38
78,2,2017,4359.3
79,1,2017,4359.16
80,12,2016,4628.09
81,11,2016,4541.93
82,10,2016,4617.54
83,9,2016,4719.17
84,8,2016,4842.0
85,7,2016,4675.36
86,6,2016,4823.19
87,5,2016,4751.69
88,4,2016,4947.33
89,3,2016,5356.96
90,2,2016,5348.66
91,1,2016,5227.18
92,12,2015,4784.05
93,11,2015,4728.39
94,10,2015,4878.8
95,9,2015,4903.67
96,8,2015,4398.15
97,7,2015,4200.53
98,6,2015,4018.51
99,5,2015,3946.42
100,4,2015,4346.94
101,3,2015,4590.59
102,2,2015,5101.83
103,1,2015,4388.09
104,12,2014,3944.12
105,11,2014,3547.02
106,10,2014,3276.79
107,9,2014,3150.5
108,8,2014,3088.79
109,7,2014,2957.38
110,6,2014,3033.17
111,5,2014,3127.94
112,4,2014,3122.51
113,3,2014,3145.34
114,2,2014,3079.94
115,1,2014,2900.64
116,12,2013,2922.79
117,11,2013,2845.19
118,10,2013,2847.35
119,9,2013,2884.79
120,8,2013,2858.04
121,7,2013,2828.23
122,6,2013,2739.33
123,5,2013,2727.79
124,4,2013,2696.73
125,3,2013,2682.58
126,2,2013,2678.63
127,1,2013,2690.63
128,12,2012,2716.61
129,11,2012,2748.67
130,10,2012,2708.58
131,9,2012,2772.45
132,8,2012,2742.85
133,7,2012,2810.45
134,6,2012,2773.78
135,5,2012,2619.52
136,4,2012,2624.78
137,3,2012,2600.88
138,2,2012,2682.21
139,1,2012,2794.43
140,12,2011,2764.4
141,11,2011,2726.42
142,10,2011,2827.1
143,9,2011,2673.05
144,8,2011,2566.04
145,7,2011,2600.0
146,6,2011,2597.55
147,5,2011,2594.58
148,4,2011,2609.66
149,3,2011,2631.98
150,2,2011,2674.53
151,1,2011,2695.52
152,12,2010,2761.96
153,11,2010,2772.8
154,10,2010,2722.15
155,9,2010,2671.54
156,8,2010,2663.76
157,7,2010,2666.41
158,6,2010,2616.54
159,5,2010,2601.62
160,4,2010,2630.27
161,3,2010,2684.21
162,2,2010,2757.89
163,1,2010,2769.02
164,12,2009,2769.84
165,11,2009,2712.56
166,10,2009,2764.37
167,9,2009,2863.08
168,8,2009,2858.7
169,7,2009,2813.94
170,6,2009,2784.14
171,5,2009,2869.44
172,4,2009,2915.21
173,3,2009,2995.51
174,2,2009,2991.5
175,1,2009,2584.49
176,12,2008,2108.46
177,11,2008,1667.48
178,10,2008,1228.88
179,9,2008,784.51
180,8,2008,766.48
181,7,2008,770.56
182,6,2008,773.93
183,5,2008,773.82
184,4,2008,773.57
185,3,2008,777.03
186,2,2008,783.31
